department,sub_department,department_id,category,sub_category,micro_category,title,description,skill_code,related_skills,bussiness_links,custom_tags,proficiency_level,assesment_method,certification_qualifications,experience_project,skill_status,skill_importance,legal_compliance_relevance,sop_practice_link,performance_metrics,common_errors_tips,sme_contacts,sub_skills,skill_flow,tasklist,status,approve_status,sub_institute_id,created_by,created_at,proficiency_level_encoded,related_skills_parsed
Financial Accounting,Financial Accounting,841.0,leadership & management skills,project management,Business Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",ACC-BIN-3021-1.1,"[""Stakeholder Management"",""Resource Allocation"",""Budget Control""]",https://en.wikipedia.org/wiki/Project_management,"[""Project Management"",""Stakeholder Engagement"",""Problem Solving""]",4.0,"Project Simulations,Certification Exams","PMP,PRINCE2","Managing business projects,Resource allocation",High-demand,High,Relevant to corporate and legal project compliance,https://www.pmi.org/,"Project Timeliness,Budget Adherence","Scope creep,Poor communication","Project Manager,Program Manager","Planning,Execution,Monitoring","Define scope,Plan schedule,Allocate resources,Monitor progress","Create project plan,Manage stakeholders,Track milestones",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Stakeholder Management', 'Resource Allocation', 'Budget Control']"
Mergers and Acquisitions,Mergers and Acquisitions,846.0,leadership & management skills,negotiation skills,Business Management,Business Negotiation,Conduct negotiations to establish win-win outcomes for the organisation,ACC-BIN-3105-1.1,"[""Negotiation Techniques"",""Conflict Resolution"",""Win-Win Outcomes""]",https://en.wikipedia.org/wiki/Negotiation,"[""Business Negotiation"",""Conflict Resolution"",""Deal Making""]",4.0,"Role Plays,Negotiation Simulations","Sales Certification,Business Courses","Negotiating contracts,Business deals",High-demand,Medium,Contract law and business regulations apply,https://www.pon.harvard.edu/,"Deal Success Rate,Stakeholder Satisfaction","Poor preparation,Inflexibility","Business Development Manager,Sales Director","Preparation,Bargaining,Closing","Research parties,Set objectives,Negotiate terms,Close deal","Prepare negotiation strategy,Conduct meetings,Finalize agreements",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Negotiation Techniques', 'Conflict Resolution', 'Win-Win Outcomes']"
Enterprise Risk Management,Enterprise Risk Management,840.0,compliance & regulatory skills,legal compliance,Business Management,Corporate and Business Law,Respond to the changes in business laws and regulations,ACC-BLR-2001-1.1,"[""Legal Compliance"",""Regulatory Updates"",""Business Law""]",https://en.wikipedia.org/wiki/Corporate_law,"[""Corporate Law"",""Legal Compliance"",""Regulatory Changes""]",4.0,"Legal Exams,Case Studies","LLB,Company Secretary",Ensuring compliance with business laws,High-demand,High,Companies Act 2013 and other regulations,https://www.mca.gov.in/,"Compliance Rate,Legal Risk Avoidance","Non-compliance,Ignoring updates","Legal Advisor,Compliance Officer","Law Research,Compliance Check","Monitor changes,Assess impact,Implement compliance","Review legal changes,Update policies,Train staff",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Legal Compliance', 'Regulatory Updates', 'Business Law']"
Restructuring and Insolvency,Restructuring and Insolvency,847.0,leadership & management skills,conflict management,Business Management,Conflict Management,"Build consensus, maintain the best interests of the organisation and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively",ACC-BRL-2001-1.1,"[""Consensus Building"",""Conflict Resolution"",""Stakeholder Management""]",https://en.wikipedia.org/wiki/Conflict_management,"[""Conflict Resolution"",""Consensus Building"",""Stakeholder Management""]",4.0,"Role Plays,Scenario Analysis","HR Certifications,Mediation Courses","Resolving workplace conflicts,Team disputes",High-demand,Medium,Labor laws and workplace regulations apply,https://www.shrm.org/,"Resolution Effectiveness,Team Harmony","Avoiding conflict,Biased mediation","HR Manager,Mediator","Identification,Discussion,Resolution","Identify issues,Facilitate dialogue,Agree solution","Mediate disputes,Facilitate meetings,Document resolutions",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Consensus Building', 'Conflict Resolution', 'Stakeholder Management']"
Assurance,Assurance,838.0,leadership & management skills,stakeholder management,Business Management,Stakeholder Management,"Manage stakeholder expectations to ensure continuous levels of engagement by identifying and addressing needs, setting service standards and resolving issues in accordance with organisational procedures",ACC-BRL-3002-1.1,"[""Stakeholder Analysis"",""Expectation Management"",""Service Standards""]",https://en.wikipedia.org/wiki/Stakeholder_management,"[""Stakeholder Management"",""Expectation Setting"",""Issue Resolution""]",4.0,"Stakeholder Analysis,Feedback Reviews","PMP,Stakeholder Management Courses","Managing client relationships,Stakeholder engagement",High-demand,Medium,Relevant to corporate governance and client servicing,https://www.pmi.org/,"Stakeholder Satisfaction,Issue Resolution Rate","Poor communication,Ignoring needs","Project Manager,Client Manager","Identification,Engagement,Management","Identify stakeholders,Assess needs,Engage regularly,Manage expectations","Conduct meetings,Address concerns,Provide updates",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Stakeholder Analysis', 'Expectation Management', 'Service Standards']"
Financial Accounting,Financial Accounting,841.0,leadership & management skills,innovation management,Business Management,Business Innovation and Improvement,Transform businesses through innovation and embrace changes to drive improvements,ACC-BTF-3001-1.1,"[""Innovation Management"",""Change Implementation"",""Business Transformation""]",https://en.wikipedia.org/wiki/Innovation_management,"[""Business Innovation"",""Change Management"",""Process Improvement""]",4.0,"Innovation Projects,Case Studies","Innovation Certifications,Lean Six Sigma","Driving business innovation,Process improvements",Emerging,Medium,IP and business laws relevant to innovation,https://www.ideou.com/,"Innovation Impact,Improvement Rate","Resistance to change,Poor idea evaluation","Innovation Manager,Business Analyst","Idea Generation,Implementation","Generate ideas,Evaluate feasibility,Implement,Review","Brainstorm ideas,Test prototypes,Implement changes",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Innovation Management', 'Change Implementation', 'Business Transformation']"
General Management,General Management,857.0,leadership & management skills,change management,Business Management,Change Management,Manage changes and developments within teams and organisation,ACC-BTF-3002-1.1,"[""Change Implementation"",""Team Development"",""Organizational Change""]",https://en.wikipedia.org/wiki/Change_management,"[""Change Management"",""Organizational Development"",""Transition Management""]",4.0,"Change Projects,Simulations","Prosci,Change Management Certifications","Managing organizational changes,Team restructuring",High-demand,Medium,Labor laws and employment contracts apply,https://www.prosci.com/,"Change Adoption Rate,Employee Satisfaction","Poor communication,Resistance management","Change Manager,HR Director","Planning,Communication,Training","Assess impact,Plan change,Communicate,Train,Monitor","Develop change plan,Communicate vision,Train employees",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Change Implementation', 'Team Development', 'Organizational Change']"
Assurance,Assurance,838.0,leadership & management skills,strategic management,Business Management,Disruption Management,Lead radical changes in industry or business strategies involving new products or services that create new markets and challenge the incumbent business models,ACC-BTF-5003-1.1,"[""Strategic Change"",""Market Disruption"",""Business Model Innovation""]",https://en.wikipedia.org/wiki/Disruptive_innovation,"[""Disruption Management"",""Strategic Innovation"",""Market Creation""]",5.0,"Case Studies,Strategic Plans","MBA,Strategy Courses","Leading business transformations,New market entry",Futuristic,Medium,Competition law and market regulations apply,https://hbr.org/topic/disruption,"Market Share Growth,Innovation Success","Ignoring trends,Poor risk assessment","Strategy Director,Innovation Lead","Trend Analysis,Strategy Formulation","Analyze trends,Identify opportunities,Develop strategy,Execute","Research markets,Develop new products,Launch initiatives",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Strategic Change', 'Market Disruption', 'Business Model Innovation']"
General Management,General Management,857.0,functional skills,finance business partnering,Business Management,Finance Business Partnering,Generate finance-related insights to support the business in a strategic manner,ACC-CFI-2006-1.1,"[""Financial Analysis"",""Business Insight"",""Strategic Support""]",https://en.wikipedia.org/wiki/Finance_Business_Partner,"[""Finance Business Partnering"",""Strategic Finance"",""Business Support""]",4.0,"Business Cases,Financial Analysis","CA,CMA",Providing financial insights to business units,High-demand,High,Compliance with accounting and corporate laws,https://www.cimaglobal.com/,"Business Impact,Decision Support","Lack of business acumen,Poor communication","Finance Manager,Business Partner","Analysis,Insight Generation,Consultation","Understand business,Analyze data,Provide insights,Support decisions","Analyze financial data,Advise business units,Support planning",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Financial Analysis', 'Business Insight', 'Strategic Support']"
Financial Accounting,Financial Accounting,841.0,functional skills,non-financial reporting,Business Management,Non-Financial Reporting,Prepare sustainability and integrated reports of the organisation,ACC-CRP-4008-1.1,"[""Sustainability Reporting"",""Integrated Reporting"",""ESG Reporting""]",https://en.wikipedia.org/wiki/Non-financial_reporting,"[""Sustainability Reporting"",""ESG"",""Integrated Reports""]",4.0,"Report Evaluation,Projects","GRI Certification,Sustainability Courses","Preparing sustainability reports,ESG disclosures",Emerging,High,Mandatory for listed companies under SEBI,https://www.globalreporting.org/,"Report Accuracy,Stakeholder Engagement","Incomplete data,Greenwashing","Sustainability Manager,CSR Officer","Data Collection,Reporting","Gather data,Apply standards,Prepare report,Disclose","Collect ESG data,Apply GRI standards,Publish report",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Sustainability Reporting', 'Integrated Reporting', 'ESG Reporting']"
Financial Accounting,Financial Accounting,841.0,leadership & management skills,business acumen,Business Management,Business Acumen,"Assess the impact of changes in the business organisation, environment, and industry",ACC-IAD-3001-1.1,"[""Business Awareness"",""Industry Analysis"",""Impact Assessment""]",https://en.wikipedia.org/wiki/Business_acumen,"[""Business Acumen"",""Industry Knowledge"",""Strategic Thinking""]",4.0,"Business Simulations,Case Studies","MBA,Business Courses","Analyzing business environments,Industry trends",High-demand,Medium,Understanding regulatory and economic impacts,https://hbr.org/topic/business-acumen,"Decision Quality,Strategic Insight","Lack of industry knowledge,Ignoring external factors","Business Analyst,Strategy Manager","Market Analysis,Impact Assessment","Research industry,Analyze trends,Assess impact,Recommend","Study market trends,Evaluate competitors,Advise management",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Business Awareness', 'Industry Analysis', 'Impact Assessment']"
Enterprise Risk Management,Enterprise Risk Management,840.0,functional skills,business process analysis,Business Management,Business Process Analysis,"Analyse business processes for improvement, optimisation and efficiency",ACC-IAD-3002-1.1,"[""Process Analysis"",""Optimization"",""Efficiency Improvement""]",https://en.wikipedia.org/wiki/Business_process_analysis,"[""Process Analysis"",""Optimization"",""Efficiency""]",4.0,"Process Mapping,Improvement Projects","Lean Six Sigma,BPM Certification","Analyzing business processes,Improving efficiency",High-demand,Medium,Relevant to operational and quality standards,https://www.isixsigma.com/,"Process Efficiency,Cost Savings","Overlooking bottlenecks,Poor data analysis","Process Analyst,Operations Manager","Process Mapping,Analysis,Redesign","Map process,Identify inefficiencies,Redesign,Implement","Document processes,Identify waste,Implement improvements",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Process Analysis', 'Optimization', 'Efficiency Improvement']"
Mergers and Acquisitions,Mergers and Acquisitions,846.0,functional skills,information analysis,Business Management,Information Gathering and Analysis,Collect and analyse information and data to obtain business insights for business activities,ACC-IAD-3003-1.1,"[""Data Collection"",""Information Analysis"",""Business Intelligence""]",https://en.wikipedia.org/wiki/Data_collection,"[""Data Collection"",""Information Analysis"",""Business Insights""]",3.0,"Data Projects,Analysis Reports",Business Analytics Courses,Collecting and analyzing business data,High-demand,Medium,Data privacy laws apply to information handling,https://www.tableau.com/learn/articles/business-intelligence,"Data Accuracy,Insight Quality","Poor data quality,Biased analysis","Business Analyst,Data Analyst","Data Collection,Analysis,Reporting","Gather data,Clean data,Analyze,Report findings","Collect data,Perform analysis,Create reports",Active,Approved,1,1.0,2025-07-16 18:27:19,3.0,"['Data Collection', 'Information Analysis', 'Business Intelligence']"
Financial Forensics,Financial Forensics,843.0,compliance & regulatory skills,legal compliance,Business Management,Financial Crime Laws and Regulations,Utilise laws and regulations governing white-collar crime in the process of forensic services,ACC-LGL-3001-1.1,"[""Anti-Money Laundering"",""Fraud Laws"",""Regulatory Compliance""]",https://en.wikipedia.org/wiki/Financial_crime,"[""Financial Crime Laws"",""AML"",""Compliance""]",4.0,"Legal Exams,Case Studies","ACAMS,Certified Fraud Examiner",Applying financial crime laws in forensics,High-demand,High,PMLA and other financial regulations apply,https://www.fatf-gafi.org/,"Compliance Rate,Case Success","Ignoring regulations,Inadequate evidence","Forensic Accountant,Compliance Officer","Law Application,Evidence Handling","Understand laws,Apply regulations,Handle evidence","Review cases,Apply legal standards,Prepare reports",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Anti-Money Laundering', 'Fraud Laws', 'Regulatory Compliance']"
Financial Forensics,Financial Forensics,843.0,functional skills,litigation support,Business Management,Litigation Support,Provide evidence and testimonies to be used in litigation,ACC-LGL-3002-1.1,"[""Legal Evidence"",""Testimony Preparation"",""Court Procedures""]",https://en.wikipedia.org/wiki/Litigation_support,"[""Litigation Support"",""Evidence Preparation"",""Testimony""]",4.0,"Mock Trials,Case Preparation",Certified Litigation Support,Providing evidence for legal cases,High-demand,High,Evidence Act and court procedures apply,https://www.accaglobal.com/,"Evidence Admissibility,Case Support","Poor documentation,Inaccurate testimony","Legal Consultant,Forensic Expert","Evidence Collection,Report Preparation","Gather evidence,Prepare reports,Testify","Collect documents,Prepare affidavits,Testify in court",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Legal Evidence', 'Testimony Preparation', 'Court Procedures']"
Management Accounting,Management Accounting,845.0,functional skills,performance management,Business Management,Performance Management,Measure and manage business performance,ACC-MAC-2007-1.1,"[""Performance Measurement"",""KPI Management"",""Business Performance""]",https://en.wikipedia.org/wiki/Performance_management,"[""Performance Management"",""KPI"",""Measurement""]",3.0,"Performance Reviews,KPI Tracking","HR Certifications,Performance Management Courses","Measuring business performance,Setting KPIs",High-demand,Medium,Labor laws and performance appraisal regulations,https://www.shrm.org/,"Goal Achievement,Performance Improvement","Unrealistic targets,Poor feedback","HR Manager,Performance Analyst","KPI Setting,Monitoring","Set targets,Measure performance,Review,Feedback","Define KPIs,Monitor metrics,Conduct reviews",Active,Approved,1,1.0,2025-07-16 18:27:19,3.0,"['Performance Measurement', 'KPI Management', 'Business Performance']"
Business Valuation,Business Valuation,839.0,functional skills,benchmarking,Business Management,Benchmarking,Compare organisational performance to other organisations and industries,ACC-MAC-3001-1.1,"[""Comparative Analysis"",""Performance Benchmarking"",""Industry Standards""]",https://en.wikipedia.org/wiki/Benchmarking,"[""Benchmarking"",""Comparative Analysis"",""Performance Standards""]",3.0,"Benchmarking Studies,Reports",Business Analysis Courses,Comparing organizational performance to industry,High-demand,Medium,Competition law compliance in benchmarking,https://www.apqc.org/,"Improvement Rate,Benchmark Accuracy","Incorrect comparisons,Poor data","Business Analyst,Strategy Manager","Data Collection,Comparison,Analysis","Identify benchmarks,Collect data,Compare,Analyze gaps","Research industry standards,Compare metrics,Recommend improvements",Active,Approved,1,1.0,2025-07-16 18:27:19,3.0,"['Comparative Analysis', 'Performance Benchmarking', 'Industry Standards']"
Management Accounting,Management Accounting,845.0,functional skills,decision making,Business Management,Management Decision Making,Make financial decisions based on management reports,ACC-MAC-3006-1.1,"[""Financial Decision Making"",""Management Reports"",""Decision Analysis""]",https://en.wikipedia.org/wiki/Decision-making,"[""Decision Making"",""Financial Analysis"",""Management Reports""]",4.0,"Decision Simulations,Case Studies","MBA,Management Courses",Making decisions based on management reports,High-demand,Medium,Corporate governance and fiduciary duties apply,https://hbr.org/topic/decision-making,"Decision Effectiveness,Risk Management","Biased decisions,Ignoring data","Manager,Decision Analyst","Data Analysis,Option Evaluation","Analyze reports,Evaluate options,Decide,Implement","Review reports,Evaluate alternatives,Make decisions",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Financial Decision Making', 'Management Reports', 'Decision Analysis']"
Assurance,Assurance,838.0,leadership & management skills,project execution,Business Management,Project Execution and Control,"Implement projects in accordance with project plan and deliverables, and monitoring and controlling processes performed to influence project outcomes",ACC-PMM-2001-1.1,"[""Project Implementation"",""Monitoring"",""Control Processes""]",https://en.wikipedia.org/wiki/Project_management,"[""Project Execution"",""Monitoring"",""Control""]",4.0,"Project Reviews,Performance Tracking","PMP,PRINCE2","Implementing projects,Monitoring progress",High-demand,Medium,Project compliance and reporting standards,https://www.pmi.org/,"Project Delivery,Timeliness","Scope deviation,Poor monitoring","Project Manager,Team Lead","Execution,Monitoring,Adjusting","Execute plan,Monitor progress,Adjust,Deliver","Assign tasks,Track progress,Address issues",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Project Implementation', 'Monitoring', 'Control Processes']"
Business Valuation,Business Valuation,839.0,functional skills,feasibility analysis,Business Management,Project Feasibility,Study project feasibility to meet project outcomes and objectives,ACC-PMM-3002-1.1,"[""Feasibility Studies"",""Project Assessment"",""Outcome Evaluation""]",https://en.wikipedia.org/wiki/Feasibility_study,"[""Feasibility Analysis"",""Project Assessment"",""Outcome Study""]",4.0,"Feasibility Reports,Case Analysis",Project Management Courses,Conducting feasibility studies for projects,High-demand,Medium,Regulatory and environmental clearances apply,https://www.pmi.org/,"Feasibility Accuracy,Project Success","Incomplete analysis,Overlooking risks","Project Analyst,Feasibility Expert","Study Design,Analysis,Reporting","Define scope,Analyze viability,Report findings","Study project aspects,Evaluate risks,Recommend",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Feasibility Studies', 'Project Assessment', 'Outcome Evaluation']"
Financial Accounting,Financial Accounting,841.0,compliance & regulatory skills,professional standards,Business Management,Professional Standards,Advocate standards development to promote public confidence and build trust in society,ACC-PVE-3006-1.1,"[""Standards Development"",""Ethical Advocacy"",""Public Trust""]",https://en.wikipedia.org/wiki/Professional_standards,"[""Professional Standards"",""Ethics"",""Advocacy""]",4.0,"Ethics Exams,Standards Review","CA,ICAI Standards","Promoting professional standards,Ethical practices",High-demand,High,ICAI and other professional standards apply,https://www.icai.org/,"Compliance Rate,Public Trust","Ethical violations,Poor advocacy","Ethics Officer,Professional Body","Standard Setting,Promotion","Develop standards,Promote adoption,Monitor compliance","Draft standards,Conduct training,Enforce ethics",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Standards Development', 'Ethical Advocacy', 'Public Trust']"
